time=2025-07-09T13:52:50.216+02:00 level=INFO msg="Server starting" time=2025-07-09T13:52:50+02:00
time=2025-07-09T13:52:50.216+02:00 level=INFO msg="[SERVER] Loaded config."
time=2025-07-09T13:52:50.216+02:00 level=INFO msg="[LUTRON] Lutron cache initialized"
time=2025-07-09T13:52:50.316+02:00 level=INFO msg=[WEBSOCKET] "connection established"=true
time=2025-07-09T13:52:55.216+02:00 level=ERROR msg="[SERVER] Failed to start Lutron routine" error="failed to connect to Lutron system: dial tcp 172.31.105.236:23: i/o timeout"
time=2025-07-09T13:52:55.217+02:00 level=INFO msg="[BACNET] Bacnet cache initialized"
time=2025-07-09T13:52:55.219+02:00 level=INFO msg="[BACNET] Bacnet routine started"
time=2025-07-09T13:52:55.220+02:00 level=INFO msg="[CYVIZ] Initialized Cyviz Cache"
time=2025-07-09T13:52:55.220+02:00 level=INFO msg="[BACNET] Read routine started"
time=2025-07-09T13:52:55.234+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=4 ip=10.10.100.1:15555
time=2025-07-09T13:52:55.267+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=3 ip=10.10.100.2:15555
[GIN] 2025/07/09 - 14:14:49 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:14:59 | 200 |       352.4µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:15:09 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:15:19 | 200 |      1.5563ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:15:29 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:15:39 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:15:49 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:15:59 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:16:09 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:16:19 | 200 |      2.3244ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:16:29 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:16:39 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:16:49 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:16:59 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:17:09 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:17:19 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:17:29 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:17:39 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:17:49 | 200 |      1.8842ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:17:59 | 200 |      1.0072ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:18:09 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
